835,952
852,963
878,961
890,948
907,955
910,937
944,957
945,957
960,985
961,992
967,989
971,989
974,981
992,972
986,931
983,921
999,917
973,903
963,909
936,899
940,887
938,873
921,874
900,869
892,878
879,869
874,858
874,844
855,837
832,834
813,829
814,842
830,861
817,878
830,894
843,906
848,900
844,919
834,917
832,912
814,912
788,931
775,946
756,953
753,964
778,968
762,988
747,998
741,991
709,977
685,966
672,978
670,979
634,968
624,977
641,952
628,942
594,941
579,969
587,974
528,958
507,967
492,982
484,991
467,962
455,966
445,980
430,962
419,955
406,960
400,943
401,939
402,937
393,929
396,911
395,891
385,889
380,884
375,889
367,912
356,922
368,944
383,957
362,977
347,972
330,971
314,972
305,975
304,958
319,959
341,949
297,943
300,911
301,902
283,908
263,915
270,890
272,886
272,874
295,878
298,869
302,865
315,839
302,819
280,814
263,805
262,807
252,801
227,800
201,815
194,819
187,834
179,840
202,849
212,850
218,857
212,860
203,878
193,893
179,880
181,871
158,885
147,899
137,879
122,865
117,873
111,854
81,872
78,876
81,889
84,909
69,916
67,934
79,943
101,939
122,931
128,927
133,923
116,898
166,922
180,910
181,936
185,938
163,948
159,965
154,973
158,978
164,974
180,973
181,968
212,964
225,972
245,963
247,958
266,963
284,974
248,988
228,894
226,880
232,872
247,889
228,844
273,847
286,788
275,780
266,759
276,752
280,755
277,742
300,761
315,754
317,745
319,739
324,746
320,712
299,720
283,707
285,700
275,689
258,691
251,715
245,734
234,738
227,742
216,731
205,741
196,740
175,732
164,729
170,748
188,773
185,799
154,844
132,813
113,806
101,793
100,793
80,810
68,788
58,795
58,775
64,772
53,752
39,749
29,764
38,785
37,803
30,819
25,816
2,826
52,835
75,835
51,870
46,889
56,890
28,905
17,905
23,921
23,944
13,945
16,965
38,965
37,948
65,962
86,969
100,974
103,992
115,986
130,971
86,989
45,985
35,990
36,994
36,999
135,769
100,756
71,746
71,722
76,715
80,705
76,691
70,690
90,669
116,681
119,671
118,662
117,653
110,639
94,635
72,616
53,611
35,604
18,586
23,577
27,565
17,557
40,546
44,552
64,555
72,557
71,562
77,548
76,543
87,519
90,514
92,510
84,505
82,508
87,487
111,468
107,460
124,464
124,481
146,494
155,491
162,494
160,498
157,512
166,546
191,548
190,564
210,570
219,579
223,570
233,571
236,559
241,558
243,552
229,550
224,559
242,582
250,599
262,598
266,588
294,602
293,606
291,616
284,626
283,657
264,659
307,664
310,663
317,641
359,654
367,648
373,653
363,674
371,682
355,693
351,690
350,675
392,639
395,642
364,615
359,617
353,592
340,589
326,590
320,587
317,578
308,588
322,565
315,552
319,541
304,547
277,541
270,548
239,516
236,504
228,503
215,501
202,473
229,471
248,487
247,493
260,459
274,446
287,436
300,444
306,432
284,421
303,404
307,405
330,412
340,422
335,428
341,448
354,455
349,462
